no	label	annotate	sentence
ks08	1		Chris was handed a note.
ks08	0	*	It is Kim whom Sandy relies.
bc01	1		John laid the book on the table.
bc01	0	*	John likes not Mary.
l-93	0	*	David constructed the mansion from bricks into a house.
sks13	1		I saw the brilliant student.
m_02	1		The commuters travelled by army lorry because the bus drivers were on strike.
d_98	1		Any student must work hard.
l-93	1		Ellen complained about the situation.
bc01	1		What the force of the wind did to the window was break it.
m_02	1		It is to Ireland that he is going.
rhl07	1		She fell into a funk.
rhl07	1		Jill threw the ball from home plate to third base.
r-67	1		I went to the store and bought some whisky.
b_73	1		Sally eats caviar more than I had expected.
c_13	1		Syntax frightens Kenny.
ks08	1		They believed that everybody would pass the test.
sks13	0	*	I like Mary and she does like Mary too.
cj99	1		The more pictures of himself that John buys the more arrogant he becomes.
bc01	1		Is Mary running the marathon?
cj99	1		When you eat more, you want correspondingly less.
l-93	1		Tourists admire paintings.
bc01	1		Rome's destruction of Carthage was horrific.
c_13	1		I mailed the sweater to Mary.
l-93	0	*	Cheryl stood the books from Edna.
sks13	0	*	I put.
ks08	0	*	The hot sun was played under by the children.
ad03	1		The children wail
r-67	0	*	The one whose I stole bike was John's.
l-93	1		That joke never fails to amuse.
bc01	1		We didn't particularly like, but nevertheless ate, the fish raw.
ad03	1		There's going to be a party, isn't there?
m_02	1		Who thought up the proposal that the committee be abolished?
ks08	1		It's nothing like the America I remember.
bc01	0	*	John kisses often Mary.
ad03	1		I wondered whether Medea had fled.
r-67	1		Harry thinks that Sally is innocent, although no one else thinks so.
c_13	1		Louis was forgiven.
m_02	1		Jane was playing the piano.
ks08	1		That Fido barks annoys me.
l-93	1		The statue stood on the pedestal.
m_02	0	*	The person who in came at that moment was Aunt Norris.
m_02	1		These documents Elizabeth is checking at this very moment.
r-67	0	*	The coat which a girl came in who had worn was torn.
ks08	1		He bought a bench on which to sit.
l-93	1		Nora pushed at the chair.
l-93	1		Sarah sang an aria.
ks08	1		The mother of the boy and the girl are arriving soon.
c_13	1		What is likely to have been bought at the supermarket?
ks08	0	*	They investigated.
l-93	0	*	The phone company billed $10 to me.
l-93	1		Wanda taught the students that the earth was round.
ad03	1		Oil spread over the sea shore.
sgww85	1		Pat is either stupid or a liar.
l-93	1		The middle class will benefit from the new tax laws.
ks08	1		It seems that John is honest.
sgww85	1		That our perspectives had changed over the years and the issues we had worked on as students were the topics of discussion.
sks13	0	*	Mary really appreciates and constantly praises himself and Bill knows it.
ks08	1		a pencil with which to write broke.
c_13	1		Robert knows that it is essential to be well behaved.
d_98	1		John made a fool of himself in front of everyone who was there.
ks08	1		They want to leave the meeting.
sks13	0	*	The time elapsed the day.
kl93	1		Sue said something although she was the most likely not to say anything.
c_13	0	*	John placed the flute.
ad03	0	*	Where did you disappear before you hid the gold?
l-93	1		The truck rumbled into the driveway.
bc01	0	*	We proved conclusively Smith to be the thief.
cj99	1		The more people that arrive, the louder that it gets.
ks08	0	*	Your books were gone most thoroughly over.
c_13	1		John loves his puppy.
sks13	1		What Henri wants is the book which is on the top shelf.
c_13	1		John believes him to have been at the game.
bc01	1		A hundred men lifted the table together.
c_13	1		The man went to the store.
kl93	1		Before you make any plans, consult the secretary.
c_13	1		I wonder who Jim kissed.
l-93	1		That new handle detaches easily.
ks08	1		What proof that he has implicated have you found?
ks08	0	*	On which I consulted with the chairman of the Select Committee was this matter.
ad03	0	*	I am having eaten seaweed.
m_02	1		One bomb didn't guide and crashed.
ks08	1		She gets upset if I exclude her from anything.
ad03	1		Jenny swallowed the fly
g_81	1		The woman who was here believed that the man was ill.
c_13	0	*	The man's standing over there hat impressed me greatly.
bc01	1		It is certain that John has loved Mary.
m_02	1		What place did John send the book?
sks13	0	*	John will have been eating enthusiastically cake.
ks08	1		There lived a man with his grandson.
l-93	1		Dana longs for a sunny day.
sks13	1		Whether to win is a question Mary never considered.
b_82	1		How likely to win is he?
c_13	0	*	I expect more than to double my profits.
l-93	1		I hunted the secret out of him.
r-67	1		My father, that he's lived here all his life is well-known to the cops.
r-67	1		It is this hat that I believe that he was wearing.
m_02	1		If Fiona is here by 5 o'clock, we can go to the party.
rhl07	1		Jill kicked the ball from home plate to third base.
c_13	1		Michael asked a question.
sks13	1		John and Mary will play with Henry and with Sue.
ks08	0	*	We believed it to try to leave the country.
ks08	1		Many of the people were dying of thirst.
r-67	0	?*	Bill didn't confirm that Roger had eaten anything.
ad03	1		Alison ran
l-93	0	*	Ellen warned to Helen.
r-67	0	?*	Sally is tall, and may be, and Sheila is short, and definitely is, blond.
bc01	1		John tried to kiss Mary.
cj99	0	*	The more he reads, the more books I wonder to whom he will give.
d_98	0	*	John slipped in front of anyone who was there.
ks08	0	*	Jack is the person whom Jenny fell in love.
r-67	1		I know two men behind me.
l-93	1		Joan knew the answer.
ks08	1		We need more intelligent leaders.
r-67	1		I suspect that the contract which I want to peruse before filing away the deed may some loopholes.
ad03	1		Benjamin gave the cloak 0 and sent the book to Lee
b_73	0	*	That's a kindest answer that I ever heard.
c_13	1		I cut the soft bread.
bc01	0	*	You shouldn't play with rifles because play with rifles to is dangerous.
rhl07	1		I shipped the bicycle from my house at the beach to my house in the mountains.
ks08	1		The child was never deceived.
l-93	1		In the church sang a choir.
ad03	1		Gilgamesh perhaps should be leaving.
b_82	1		It's obvious that, although he's a nice guy, John isn't too bright.
rhl07	1		The door has a fresh coat of paint.
l-93	0	*	Amanda carried at the package to New York.
c_13	1		Can Fiona eat sauteed candy canes?
ks08	1		little information was provided.
c_13	1		The red dress with the pink stripes looks good on Sandy.
r-67	1		I gave a picture of a covered bridge and a hundred hikers from Hoboken to my sister.
l-93	1		Ida hunted for deer in the woods.
ad03	0	*	Can he will do it?
ad03	1		He might no could have done it
g_81	1		The man who I think chased Fido returned.
ks08	1		What is John easy to do?
r-67	1		Although no one else believes it, Harry believes that Sally is innocent.
g_81	1		Who do you think you saw?
sks13	1		It is big.
l-93	1		Paula hit the fence.
ad03	0	*	Will can he do it?
sgww85	1		The boys and the girls seem happy.
r-67	0	*	The hardest that that it has snowed here is believed was last January 12th.
c_13	1		Heidi thinks that Andy has eaten salmon flavored candy bars.
c_13	1		No man has ever beaten the centaur.
r-67	1		Myron is making the claim that dead is better than red.
ks08	1		Shakespeare wrote his plays a long time ago.
m_02	0	*	Although in came Aunt Norris, Fanny continued talking.
r-67	1		I screamed at some children watching me.
ks08	1		During the early evening, Saturn can be found in the north, while Jupiter rises in the east.
ks08	1		Fred is thinking about whether he should stay in Seoul.
r-67	1		He'll bring me a hot dog if he sees one.
c_13	1		Calvin will strike himself and Otto will too.
ks08	1		Historians believe FDR to be our most effective president.
c_13	1		John could bake something, but I'm not sure what.
c_13	1		John knew that there would be a picture of himself hanging in the post.
ad03	0	*	Who did you believe that to kiss seemed wrong?
ks08	1		He baked Tom the bread last night.
b_82	1		It's obvious that Mary, he can't stand.
g_81	0	*	Which city and which conference did Bill go to to?
c_13	0	*	The book was been given by Bill by Sue.
ks08	1		He said that that ` that ' that that man used was wrong.
l-93	0	*	Carmen obtained Diana of a spare part.
r-67	1		I won't ask you to believe that he tried to force me to give her some money.
bc01	0	??	Ron wanted to be wearing a tuxedo to the party, but Caspar didn't know whether to be.
bc01	0	??	How many people do you wonder whether I consider intelligent?
b_73	1		Sally eats the stuff pretty often.
ks08	0	*	The committee haven't yet made up its mind.
ks08	1		Students wanted to write a letter.
cj99	1		I demand that the more John eats, the more he pays.
r-67	1		Who gave what to whom?
sgww85	1		They were wary of themselves and of each other.
m_02	1		Mr Yates left because never had Sir Thomas been so offended.
ks08	0	*	Kim depends at Sandy.
l-93	1		The swindler cheated Pat of her fortune.
m_02	1		Ayala went to the ball and chatted to Jonathan Stubbs.
r-67	0	*	The socks are ready for you to announce that you will put on.
sks13	1		John was wondering whether to leave or not.
ks08	1		Ray found the outcome frustrating.
l-93	1		The drunk hugged the lamppost.
ad03	1		What Alison and David did was soak their feet in a bucket
l-93	1		The jeweller inscribed the ring with the name.
ks08	0	*	Kim is eager to recommend.
l-93	1		Michelle kept the papers behind the desk.
ad03	1		It was claimed by everyone that the poison was neutralised
l-93	0	*	The politician perjured his aide.
bc01	0	*	The house destroyed John.
sks13	1		I said that she runs.
l-93	0	*	She held at the rail.
ad03	0	*	Anson thought that himself was going to the club.
gj04	0	*?	Bill floated into the cave for hours.
ks08	1		What Mary offered to him is unclear.
sks13	1		The idiot can't even open an umbrella!
m_02	1		Frank bought Jane the piano.
sks13	1		She may have thawed the roast and should have thawed the roast.
ad03	1		which city the claim that Philip would invade.
l-93	0	*	Baseballs toss easily.
l-93	0	*	The doctor cured pneumonia from Pat.
ad03	1		Hera tried to appear to be happy.
rhl07	1		I shipped the package halfway around the world.
b_73	1		Enough is going on to keep them confused.
r-67	0	*	We, we'll go together.
r-67	1		Reports the height of the lettering on the covers of which the government prescribes should be abolished.
ks08	1		John did leave.
l-93	1		The door hinges squeaked.
l-93	0	*	The pasture is herding with cattle.
sks13	1		The man that Mary saw knew me.
ad03	1		What Jason asked was whether the potion was ready
sgww85	0	*	You can depend on that he will be on time.
c_13	0	*	The cake was been eating.
ks08	0	*	What did Bill cook and wash the dishes?
sgww85	0	*	The irritating and a bully man was my brother.
c_13	1		Heidi wants to kiss herself.
l-93	1		Alison poked the cloth.
c_13	1		That Harry loves dancing is evidenced by his shiny tap shoes.
ks08	1		In no other circumstances does that distinction matter.
gj04	0	*	They caused him to become angry by making him.
c_13	1		Brezhnev had said for Andropov to leave.
r-67	0	*	Mike quipped she never wore this hat.
r-67	0	?*	By which Greek authors does he have books?
r-67	1		Sodium is a little too peppy for me to want to try mixing it and water in a teacup.
bc01	0	*	Frank promised the men all to leave.
l-93	1		Frances hid the presents from Sally.
b_73	1		I have six more of them.
bc01	0	*	John is impressed by Bill as pompous.
r-67	1		Did you notice which difficulties she made.
ks08	0	*	These are similar with the bottles.
ad03	1		Julie maintained that the barman was sober.
kl93	1		I don't have any potatoes.
ad03	1		Many fish are in the sea.
c_13	1		Everyone should be able to defend herself.
c_13	1		The puppy licked the kitten's face.
c_13	1		Frank will eat an apple and Morgan will eat an apple too.
ad03	1		Who did you say that John thought would leave early?
d_98	1		John knew every language that we encountered on our trip.
bc01	1		John persuaded Mary to kiss him.
m_02	1		Into the room sauntered Jeeves.
l-93	1		The clothes dried.
l-93	1		Nora sent books to children.
sks13	1		We put a book on the table.
c_13	1		The roof of the building is leaking.
ks08	1		This is the politician on whom Sandy relies.
sks13	1		This project is manageable.
sks13	1		What John told us is that he wants to quit school.
l-93	1		The well gushed oil.
l-93	1		We sleep five people in each room.
l-93	0	*	Brown equipped a camera next to Jones.
l-93	1		I separated the cream from the milk.
c_13	1		It is raining in San Francisco.
ks08	0	*	This needs mending the shoe.
ks08	1		Both of the workers will wear carnations.
l-93	1		Lydia pocketed the change.
m_02	1		Frank Churchill crosses the street.
m_02	0	*	Golfer who is in training has a pretty powerful swing.
r-67	1		My binoculars were given to that girl by him.
m_02	1		This sweater washes well.
b_73	0	*	He's enough of the coward to pull the trigger.
sks13	1		John hopes to sleep.
bc01	1		The wall is being touched by John.
m_02	1		Was the piano bought for Jane by Frank?
m_02	1		Jim was chopping logs when Margaret left and was still at it when she got back.
c_13	0	*	If he is a rich man, he'd buy a diamond ring.
ks08	1		Do some of your relatives live nearby?
r-67	0	*	The socks are ready for it to be planned for you to put on.
l-93	1		Cynthia gobbled the pizza .
c_13	1		Dane is a doctor.
l-93	0	*	I shaved myself.
g_81	1		He was talkative.
l-93	0	*	To him presented itself a wonderful opportunity.
ks08	1		Tom wanted to go home, but Peter didn't want to.
ad03	1		I asked who John would introduce to who.
c_13	1		Heidi investigated whether John ate the cauliflower.
l-93	1		Heather cabled Sara.
c_13	1		Heidi thinks that pictures of herself are beautiful.
sks13	1		It is with long hair.
bc01	1		I showed few boys any of the books.
r-67	1		I gave to the officer in charge the blackjack. which I had found in the cookie jar.
m_02	1		Wren built St Paul's Cathedral.
ad03	0	*	Gilgamesh might have been not reading the cuneiform tablets.
bc01	1		You eat the fish raw and the beef cooked.
ks08	1		If John wants to succeed in corporate life, he has to know the rules of the game.
ks08	1		That's how they do it.
l-93	0	*	Flies swat easily.
ks08	1		Some of the diners need menus.
l-93	1		This silver polishes itself.
r-67	0	*	Is whether he played the piano known?
m_02	1		Mr Knightley walked into the drawing room.
r-67	1		Tom drives as that man does.
bc01	1		We like our friends and they like their friends, too.
bc01	1		John told Mary to kiss him.
ks08	1		It annoys people that dogs bark.
l-93	0	*	The yolk and the white separated apart.
ad03	1		I think she is pregnant
r-67	0	*	I sent him it.
sks13	1		John goes to school.
l-93	1		The inspector analyzed the building's soundness.
l-93	1		Nora brought the book to the meeting.
l-93	1		The heat melted the ice cream.
g_81	0	*	The talkative and a bully man entered.
ad03	0	*	I destroyed there.
b_73	0	*	Mary has more friends than just Bill and Pete are.
r-67	0	*	I went out with a girl who that John showed up pleased.
ks08	1		May she live forever!
rhl07	0	*	Robin arrived partway at the station.
ks08	1		The monkey wants to leave the meeting.
c_13	1		Sally kissed herself.
l-93	0	*	Paula swatted the cloth on the fly.
ks08	1		Strings have been pulled many times to get students into that university.
b_73	1		John is not a more reliable fellow than Bill.
ks08	1		The president could not approve the bill, couldn't he?
ad03	0	*	Gilgamesh might can seek Ishtar
ks08	1		It was then when we all went to bed.
l-93	1		Paul laughed.
b_73	1		Mary has more friends than just Bill and Pete.
l-93	1		He turned from a prince into a frog.
bc01	1		Exactly half of the students attended some seminar.
ad03	1		The owl hated the evil bat and loved the wise eagle.
kl93	0	*	At least three girls saw anything.
ad03	1		Poseidon wept, after the executioner left.
ks08	0	*	John placed him busy.
r-67	1		Reports the covers of which the government prescribes the height of the lettering on almost always put me to sleep.
g_81	0	*	The man chased Fido returned.
ad03	1		How did Julie ask if Jenny left?
r-67	0	*	Here is the snowball which I chased the boy who threw at our teacher.
c_13	1		I saw these dancers and those musicians smoking something.
sks13	1		Several people are sick.
sks13	1		Bill is sick.
ks08	0	*	The average age at which people begin to need eyeglasses vary considerably.
l-93	0	*	The mixture funnels.
c_13	1		I bought the parrot in the store.
bc01	0	*	John tries him to win.
r-67	1		I heated up the coffee and Sally wiped the table off.
ks08	0	*	When I read them and enjoyed them was not until I was perhaps twenty-five.
sks13	0	*	There stabbed an animal.
ad03	0	*	Did that Medea killed her children upset Jason?
ks08	0	*	Today was visited by my uncle.
r-67	1		I want to peruse that contract before filing it away.
r-67	1		It is not true that it was obvious that it would confuse the guards for Herschel to throw a fit.
r-67	1		I know a man who Tom drives like.
r-67	1		If Jim feels good, he will go.
gj04	1		They made him president.
bc01	0	*	You will Bob believe.
ad03	0	*	Genie intoned the mirror.
ks08	1		The dentist was believed to have examined Pat.
ks08	1		The hotel where Gloria stays is being remodelled.
l-93	0	*	Water pours easily onto the plants.
ks08	0	*	Mary waited for the bus and to go home.
l-93	1		Paula swatted the fly.
ks08	0	*	The lady singing with a boy is a genius, isn't she?
m_02	0	*	Because into the room came Aunt Norris, Fanny stopped talking.
l-93	1		That dog bites.
m_02	1		Ayala sent back the diamond necklace.
ks08	1		Tom is confident that the elephants respect him.
m_02	0	*	This truck spread fewer salt than that one.
r-67	1		In this experiment, fourteen variables must be kept track of simultaneously.
r-67	1		Phineas knows a girl who is behind Maxime.
bc01	1		The sponge soaked up the water.
sgww85	1		Pat is either asleep or at the office.
c_13	1		Chris hacked the computer apart with an axe.
cj99	0	*	It is important the more you to eat, the more careful to be.
ad03	1		Alison and David soaked their feet in the kitchen
sgww85	1		We walked slowly and with great care.
ks08	1		No doubt that he was forced to leave his family against his will.
l-93	1		Squatters lodged in these abandoned buildings.
ks08	0	*	George has went to America.
l-93	1		A flowering plant is on the windowsill.
ks08	1		Kim and Sandy is looking for a new bicycle.
ad03	1		Julie felt a twinge in her arm
l-93	1		Ellen told Helen about the situation.
sks13	1		This girl in the red dress must put a picture of Bill on your desk.
kl93	1		Cows fly more often than John visits any relatives.
rhl07	1		Jake kicked the ball all the way to Bill.
l-93	1		Paula trimmed the bush.
sks13	1		John believes Bill to have slept.
sgww85	1		John talked to his supervisor about his thesis, and Erich to the dean about department politics.
sks13	1		Mary really appreciates and constantly praises herself and Sue knows it.
r-67	0	*	Bill and Mary washed himself.
ks08	1		John mentioned to me that the question is an issue.
sks13	1		John believes that Bill has slept.
c_13	1		Andy promised that we would go.
m_02	1		When Lydia went to Brighton, she eloped with Wickham.
bc01	1		Two students speak each language.
ks08	1		John will study syntax, and Mary, too.
c_13	1		Bradley left.
bc01	0	*	The children eat all chocolate.
c_13	1		John left his wife.
l-93	0	*	They praise the dedication in the volunteers.
l-93	0	*	Squirrels pelt easily with acorns.
sgww85	0	*	The students and Professor Swansong is meeting in the park.
r-67	1		My friends Mike talked to about politics yesterday.
rhl07	1		Anne is curious as to why her father sent her a telegram to America to return home at once.
l-93	1		Dana is longing for a sunny day.
ks08	1		To finish this work on time is almost unexpected.
m_02	1		She buys for Harrods.
c_13	0	*	the book with a red cover of poems from Blackwell by Robert Burns takes a very long time to read.
ks08	0	*	Americans have paying income tax ever since 1913.
rhl07	0	*	The old dog died all the way.
gj04	0	*	This building got than that one.
l-93	1		Wilma completed the assignment.
l-93	1		Paula swatted at the fly.
r-67	1		I lost a Japanese slide rule, and the fact that Peter now has one I regard with suspicion.
l-93	1		Nora sent the book from Paris.
b_73	0	*	Some of them made as many as Joan errors.
ks08	0	*	The writer is that gets you so involved.
m_02	1		We were wondering who did you meet at the conference.
r-67	1		Mary has never kissed a Man taller than John.
b_82	1		Because he's such a nice guy, what would John like?
bc01	0	*	Every man lifted the table together.
c_13	1		The captain sank the boat.
sks13	1		That the girl put a picture there proves her guilt.
l-93	0	*	Brown equipped a camera to Jones.
ks08	1		Will Tom leave the party now?
l-93	0	*	The twig and the branch broke.
ad03	1		I had the strangest feeling that I knew you.
c_13	1		I should not eat plums.
r-67	1		I think that Mort's a swell guy, and Lenny thinks so too.
cj99	1		I'm going out, whatever the weather.
sks13	1		the boy likes himself.
r-67	1		I'll work on it if I can work on it.
ad03	1		His analysis, I never liked.
ad03	1		Gilgamesh is not reading the cuneiform tablets.
l-93	1		Melissa searched for a clue in the papers.
b_73	0	*	I've kicked more of a man than you have.
ad03	1		Jason persuaded Medea to try to run away.
ks08	1		One of the people was dying of thirst.
l-93	1		Jennifer shook her finger at the naughty child.
l-93	1		Carmen obtained the spare part.
b_73	0	*	I'm as sad as angry.
ad03	1		Mary is faster than John is.
b_73	1		The table is longer than the door is wide.
l-93	1		I twirled the dough into a pretzel.
c_13	1		Wendy's mother country is Iceland.
l-93	0	*	The thief chased down the street.
ad03	0	*	Dante accused
ad03	1		I am being whipped
b_82	1		Though he may seem intelligent, he does not seem deep.
l-93	1		"Susan whispered ""Shut up"" at them."
sks13	1		John said he was sick.
ks08	1		We made them take the money.
sks13	1		Who in this class thinks he is smart?
ks08	1		the pencil with which he is writing broke.
ks08	0	*	John can kicked the ball.
b_73	0	*	She's enough tall.
ad03	1		He looked it up
c_13	0	*	What did you eat some popcorn and drink?
ks08	0	*	He believed there to be likely that he won the game.
bc01	1		We proved Smith conclusively to be the thief.
sgww85	0	*	What did you say I go and got?
bc01	1		John spoke intimately to Mary.
r-67	0	*	They, they can't stand each other.
ks08	0	*	John that we are looking for showed up.
c_13	0	*	The Joneses think himself the most wealthy guy on the block.
r-67	0	*	I went to the movies to not pick the shirts up.
c_13	1		John bit the apple.
ks08	1		One of the problems was the robins.
r-67	0	*	Although Bob may not be a nut, many people have claimed and I think so too.
ks08	1		The fly fell into the soup.
b_73	0	*	I've never seen the one taller man than my father.
l-93	1		Paula hit at the fence.
c_13	1		You can lead a horse to water but will it drink?
r-67	1		Willy is taller than Bill by as much as Joe is taller than the Dan.
ks08	1		She disappeared when the main party arrived.
r-67	1		It is not true that it was obvious that for Herschel to throw a fit would confuse the guards.
ad03	1		Poseidon had run away, before the executioner murdered Hera.
r-67	0	*	Faith was had in all kinds of people.
ks08	1		They believe the cat to be out of the bag.
d_98	0	*	John talked to any powerful politician.
ks08	1		Which attorney will give the closing argument hasn't been decided by them.
r-67	1		Her indiscretions were made light of.
sks13	1		Smith loaned a valuable collection of manuscripts to the library, and his widow later donated a valuable collection of manuscripts to the library.
bc01	0	*	Home was gone by John.
d_98	0	*	Some who read anything passed.
b_73	1		Mary's happy about her work, and John's happy about his children.
l-93	1		Carla poured lemonade into the pitcher.
ks08	1		Mary solved the problem.
cj99	1		Every senator becomes more corrupt, the more lobbyists he talks to.
ks08	0	*	Oliver ascribed his longevity there.
ks08	0	*	John gave a present to the student and Mary did the same thing to the teacher.
sks13	1		This girl will not buy bread, will she buy bread?
l-93	1		Terry touched Bill on the shoulder.
ks08	1		This bed was surely slept in by a huge guy last night.
g_81	1		I know a man who saw Bill and liked Mary.
bc01	0	*	John was unknown to be the murderer.
ks08	1		Kim jogs under the hill.
r-67	1		Mary scratched her arm too.
ks08	0	*	Among the guests were sitting my friend Louise.
m_02	1		Bill went to London on Monday.
c_13	1		Molly gave Calvin a kiss.
r-67	1		This rock is light enough for Marcia to pick it up.
ks08	1		John seems to fix the computer.
ad03	1		Gilgamesh misses Aphrodite
sks13	0	*	I praised.
rhl07	1		Max offered help to the victims, but they refused his offer.
l-93	1		$100,000 will build you a house.
ks08	0	*	I do not have sung.
ks08	1		Targets can be observed at any angle.
ks08	1		I ate what John ate.
bc01	1		The tank filled with petrol out of the pump.
sks13	1		Our rabbit and the neighbor's cat like each other.
sks13	1		John told us that he wants to quit school.
ad03	1		Perhaps Iphigenia will have murdered Oedipus by tomorrow.
cj99	1		The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy.
sks13	1		My nephew could write letters to his parents with a fountain pen.
m_02	1		This parcel is very heavy.
l-93	1		Over the fort fluttered a large flag.
b_73	1		John eats more.
ks08	1		He intended to will the large amount of money to Frank.
ks08	1		Kim is eager to please.
r-67	0	*	They let him go yesterday, him.
ks08	0	*	If anybody keeps spoiling the children, John keeps.
ad03	1		Nathan caused Benjamin to see himself in the mirror.
bc01	1		Fruit hit the roof from the tree.
r-67	0	*	Who does Phineas know a girl who is jealous of?.
b_73	1		It wasn't as awful a picture as it first seemed.
m_02	1		Mrs Bennet having taken the others upstairs, Mr Bingley proposed to.
ad03	1		It snowed
c_13	1		Dana doubts that Drew believes I think Rosie loves magazine ads.
sks13	0	*	Put a picture of Bill on your desk, this girl in the red coat will put a picture of Bill on your desk before tomorrow.
l-93	1		My eyes are itching me.
bc01	1		Mary will believe Susan, and you will Bob.
sks13	1		Mary saw the tall man coming from England.
r-67	1		They will give me a hat which I know that I won't like.
l-93	1		Suddenly there entered the hall an ugly old man.
l-93	1		Nora sent the book to London.
c_13	1		I liked Mary and John.
r-67	0	*	Fluffy is sick, which that no one here realizes is certain.
c_13	1		Rosie loves magazine ads.
l-93	1		A fire raged all through the mountains.
c_13	0	*	I think if John likes his beer.
ks08	1		The plums were weighed by the grocer.
ks08	1		Our neighbor takes his children to school in his car.
r-67	0	*	Which picture is Ann going to send to her teacher of Chairman Mao as soon as she gets home?
sks13	0	*	Mary believes that Bill saw herself.
g_81	1		On which table and under which flower pot did John put the keys?
bc01	0	*	Although Mag doesn't eggplants, Sally eats cabbage.
ks08	1		We expect them to examine themselves.
