the signature is above the grade	the grade is above our expectations	the signature is above our expectations	no	the triangle is above the circle	the circle is above the square	the triangle is above the square	yes
the date is under the signature	the signature is under verification	the date is under verification	no	the circle is under the triangle	the triangle is under the square	the circle is under the square	yes
the helmet is above the scooter	the scooter is above my pay	the helmet is above my pay	no	the helmet is above the scooter	the scooter is above the parking lot	the helmet is above the parking lot	yes
the notebook is under the schedule	the schedule is under five hours	the notebook is under five hours	no	the fork is under the table cloth	the table cloth is under the towel	the fork is under the towel	yes
the lamp is above the bench	the bench is above average	the lamp is above average	no	grade A is above grade B	grade B is above grade C	grade A is above grade C	yes
the chinchillas are under the birds	the birds are under the headmaster's protection	the chinchillas are under the headmaster's protection	no	grade F is under grade C	grade C is under grade B	grade F is under grade B	yes
the infographic is above the article	the article is above my knowledge	the infographic is above my knowledge	no	grade A is above grade B	grade B is above my teacher's expectations	grade A is above my teacher's expectations	yes
the bed is under the teacher	the teacher is under anaesthesia	the bed is under anaesthesia	no	grade D is under grade C	grade C is under the threshold	grade D is under the threshold	yes
the mug is on the shelf	the shelf is above ten years old	the mug is above ten years old	no	the mug is on the shelf	the shelf is above the cooker	the mug is above the cooker	yes
the robot is above the mirror	the mirror is on my mind	the robot is above my mind	no	the robot is above the mirror	the mirror is on the desk	the robot is above the desk	yes
the horses are in the vehicle	the vehicle is under repair	the horses are under repair	no	the horses are in the vehicle	the vehicle is under the bridge	the horses are under the bridge	yes
the backpacks are in the plane	the plane is under repair	the backpacks are under repair	no	the backpacks are in the plane	the plane is under the sea	the backpacks are under the sea	yes
the latest invention is behind the project	the project is months behind schedule	the latest invention is behind schedule	no	the project file is behind the table	the table is behind the door	the project file is behind the door	yes
a teen wearing blue trousers is behind the man wearing a red shirt	the man wearing a red shirt is behind the terrorist attacks over the last years	a teen wearing blue trousers is behind the terrorist attacks over the last years	no	a charlatan is behind the ghost	the ghost is behind the murders	a charlatan is behind the murders	yes
the pressure is on the woman	the woman is at lunch	the pressure is at lunch	no	the skirt is on the mannequin	the mannequin is at my friend's shop	the skirt is at my friend's shop	yes
the book is at my friend's place	my friend's place is above expectations	the book is above expectations	no	the book is at my friend's place	my friend's place is above the pharmacy	the book is above the pharmacy	yes
his talent is at tennis	tennis is behind the nation's latest fashion trends	his talent is behind the nations' latest fashion trends	no	his talent is at tennis	tennis is behind his popularity	his talent is behind is popularity	yes
my aunt is at work	her work is at an all-time high	my aunt is at an all-time high	no	my aunt is at work	her work is at King's Cross	my aunt is at King's Cross	yes
the vote is on the reform	the reform is at an inflexion point	the vote is at an inflexion point	no	the case is on the golden table	the golden table is at the mayor's house	the case is at the mayor's house	yes
the doctor is at the theatre	the theatre is on fire	the doctor is on fire	no	the doctor is at the theatre	the theatre is on a mountain	the doctor is on a mountain	yes
the nurse is at the concert	the concert is at an exorbitant price	the nurse is at a exorbitant price	no	the nurse is at the concert	the concert is at the seaside	the nurse is at the seaside	yes
the picture is behind my mother	my mother is at ease	the picture is at ease	no	the old lady is behind my mother	my mother is at the museum	the old lady is at the museum	yes
the girl is at the event	the event is above our expectations	the girl is above our expectations	no	the girl is at the event	the event is above the lake	the girl is above the lake	yes
the umbrella is above the worm	the worm is above average size	the umbrella is above average size	no	the umbrella is above the worm	the worm is above the ground	the umbrella is above the ground	yes
the bat is above the policeman	the policeman is above suspicion	the bat is above suspicion	no	the bat is above the policeman	the policeman is above the ground floor	the bat is above the ground floor	yes
the net is above the deer	the deer is at bay	the net is at bay	no	the net is above the deer	the deer is at the edge of the forest	the net is at the edge of the forest	yes
the latest update is behind the offer	the offer is at face value	the latest update is at face value	no	the latest newspaper is behind the blue box	the blue box is at my place	the latest newspaper is at my place	yes
the interest of the country is behind the negotiation	the negotiation is behind closed doors	the interest of the country is behind closed doors	no	the interest of the country is behind the latest reform	the latest reform is behind the salary raises	the interest of the country is behind the salary raises	yes
the coat is behind the wardrobe	the wardrobe is in a really bad condition	the coat is in a really bad condition	no	the coat is behind the wardrobe	the wardrobe is in a really bad hotel	the coat is in a really bad hotel	yes
the sun is behind the trees	the trees are behind his love for the countryside	the sun is behind his love for the countryside	no	the sun is behind the trees	the trees are behind the house	the sun is behind the house	yes
Venus is behind the Moon	the Moon is behind my mood changes	Venus is behind my mood changes	no	Venus is behind the Moon	the Moon is behind the hill	Venus is behind the hill	yes
the canary is above the fireplace	the fireplace is behind the times	the canary is behind the times	no	the canary is above the fireplace	the fireplace is behind the kitchen	the canary is behind the kitchen	yes
the house is above my expectations	my expectations are behind my desire for a better job	the house is behind my desire to get a better job	no	the balcony is above the garden	the garden is behind the forest	the balcony is behind the forest	yes
the hotel is under my expectations	my expectations are behind my push for a longer vacation	the hotel is behind my push for a longer vacation	no	the hotel is under the blue bridge	the blue bridge is behind the parliament building	the hotel is behind the parliament building	yes
my rent is above my monthly salary	my monthly salary is above a professor	my rent is above a professor	no	the rent is above my monthly salary	my monthly salary is above the mean salary	the rent is above the mean salary	yes
the cost of the trip is above my monthly salary	my monthly salary is under review	the cost of the trip is under review	no	the canary is above the sofa	the sofa is under the cloudless sky	the canary is under the cloudless sky	yes
the garage is behind the hotel	the hotel is under construction	the garage is under construction	no	the garage is behind the hotel	the hotel is under the hill	the garage is under the hill	yes
the garden is behind the house	the house is under the arch	the garden is under the arch	no	the garden is behind the house	the house is under the cloudy skies of California	the garden is under the cloudy skies of California	yes
her thoughts are with her brother	her brother is under surveillance	her thoughts are under surveillance	no	her brother is with her grandmother	her grandmother is under the ground floor	her brother is under the ground floor	yes
the pressure is on her brother	her brother is under the control of his video games addiction	the pressure is under the control of his video games addiction	no	the hat is on her brother	her brother is under the football poster	the hat is under the football poster	yes
the joke is on the teacher	the teacher is on pain medicine	the joke is on pain medicine	no	a burger is on the menu	the menu is on my wishlist	a burger is on my wishlist	yes
the tree is behind the house	the house is on fire	the tree is on fire	no	the tree is behind the house	the house is on the island	the tree is on the island	yes
the bird is on the Christmas tree	the Christmas tree is under redecoration	the bird is under redecoration	no	the bird is on the Christmas tree	the Christmas tree is under the archway	the bird is under the archway	yes
the article is on the riot	the riot is under control	the article is under control	no	the article is on the sideboard	the sideboard is under the TV	the article is under the TV	yes
the young pupil is behind the rumour	the rumour is behind her back	the young pupil is behind her back	no	the young pupil is behind the teacher	the teacher is behind the desk	the young pupil is behind the desk	yes
the dog is on the carpet	the carpet is above average	the dog is above average	no	the cat is on the carpet	the carpet is above the floor	the cat is above the floor	yes
the house of the president is behind the parliament	the parliament is behind the latest controversy	the house of the president is behind the latest controversy	no	the house of the president is behind the parliament	the parliament is behind the park	the house of the president is behind the park	yes
the CEO is at the congress	the congress is on a good path	the CEO is on a good path	no	the CEO is at the congress	the congress is on the rooftop terrace	the CEO is on the rooftop terrace	yes
the architect is at the hotel	the hotel is at risk of being declared illegal	the architect is at risk of being declared illegal	no	the architect is at the seaside	the seaside is at the other end of the country	the architect is at the other end of the country	yes
the fire is at my friend's place	my friend's place is under renovations	the fire is under renovations	no	the lantern is at my friend's place	my friend's place is under the mausoleum	the lantern is under the mausoleum	yes
the parrot is above the patient	the patient is at peace	the parrot is at peace	no	the parrot is above the patient	the patient is at the hospital	the parrot is at the hospital	yes
the baker is at the pharmacy	the pharmacy is above my doctor's expectations	the baker is above my doctor's expectations	no	the baker is at the pharmacy	the pharmacy is above the supermarket	the baker is above the supermarket	yes
my friend is at the opera	the opera is behind the latest cultural outreach efforts	my friend is behind the latest cultural outreach efforts	no	my friend is at the opera	the opera is behind the city square	my friend is behind the city square	yes
my salary is above your salary	your salary is in the newspaper	my salary is above the newspaper	no	my coffee is above your stamps	your stamps are in the envelope	my coffee is above the envelope	yes
the hospital is above the historical site	the historical site is on the agenda	the hospital is above the agenda	no	the seagull is above the doctor	the doctor is on the ship	the seagull is above the ship	yes
the reform is under the influence of the dean	the influence of the dean is behind her fears of joining the university	the reform is behind her fears of joining the university	no	the key is under the dress	the dress is behind the chair	the key is behind the chair	yes
the girl is at the art gallery	the art gallery is under attack from the tabloid press	the girl is under attack from the tabloid press	no	the girl is at the art gallery	the art gallery is under the winery	the girl is under the winery	yes
the bad economy is behind the withdrawal of the international banks	the withdrawal of the international banks is on the list of notable events this year	the bad economy is on the list of notable events this year	no	the latest drawing is behind my father's computer	my father's computer is on the top floor	the latest drawing is on the top floor	yes
the carpet is under the old furniture	the old furniture is behind my grandmother's disapproval of the house	the carpet is behind my grandmother's disapproval for the house	no	the carpet is under the old furniture	the old furniture is behind the red door	the carpet is behind the red door	yes
the city is under fire	the fire is behind the latest alerts	the city is behind the latest alerts	no	the library is under the university	the university is behind the old school	the library is behind the old school	yes
the headmaster is behind my decision to stay	my decision to stay is on my father's mind	the headmaster is on my father's mind	no	the teacher is behind the pupils	the pupils are on the school grounds	the teacher is on the school grounds	yes
the book is with the boy	the boy is on the clock	the book is on the clock	no	the boy is with his mother	his mother is on the train	the boy is on the train	yes
the economy is in recession	the recession is on the path to an end	the economy is on the path to an end	no	the economy is in recession	the recession is on an upward trend	the economy is on an upward trend	yes
the book is in the library	the library is on the campus map	the book is on the campus map	no	the library is in the city	the city is on the hill	the library is on the hill	yes
a general is above a captain	the captain is at the meeting room	the general is above the meeting room	no	the train line is above the captain	the captain is at the meeting room	the train line is above the meeting room	yes
I am under the weather	the weather is on the radio	I am on the radio	no	the subtitle is under the film	the film is on TV	the subtitle is on TV	yes
the two parties are behind the talks	the talks are behind closed doors	the two parties are behind closed doors	no	the closed doors are behind the entrance	the entrance is behind the station	the closed doors are behind the station	yes
John is behind in the race	the race is in the afternoon	John is behind the afternoon	no	the fire extinguisher is behind the monitor	the monitor is in a box	the fire extinguisher is behind a box	yes
the sun is behind the trees	the trees are in his imagination	the sun is behind his imagination	no	the flower pot is behind the letter	the letter is in an envelope	the flower pot is behind an envelope	yes
the hill is above the house	the house is above my price range	the hill is above my price range	no	the hill is above my house	my house is above the creek	the hill is above the creek	yes
the hotel is at my expectations	my expectations are behind my push for a higher salary	the hotel is behind my push for a higher salary	no	the hotel is at the tram station	the tram station is behind the town hall	the hotel is behind the town hall	yes
the patient is in the hospital	the hospital is under the county	the patient is under the county	no	the patient is in the hospital	the hospital is under the train station	the patient is under the train station	yes
the cost of the trip is above my travel allowance	my travel allowance is under revision	the cost of the trip is under revision	no	the birdview terrace is above the hotel	the hotel is under the southmost corner of Ohio	the birdview terrace is under the southmost corner of Ohio	yes
the library is behind the math building	the math building is under renovation	the library is under renovation	no	the math building is behind the library	the library is under the campus parking level	the math building is under the campus parking level	yes
the cat is in the library	the library is in a deplorable state	the cat is in a deplorable state	no	the garden is in the house	the house is in the building	the garden is in the building	yes
the bench is under the bridge	the bridge is under construction	the bench is under construction	no	the bench is under the bridge	the bridge is under San Francisco	the bench is under San Francisco	yes
the painting is above the garden	the garden is behind my need for a hobby	the painting is behind my need for a hobby	no	the painting is above the garden	the garden is behind the house	the painting is behind the house	yes
the joke is on him	he is on the go	the joke is on the go	no	the weather report is on the news program	the news program is on TV	the weather report is on TV	yes
Arthur is behind Anne's request	Anne's request is behind the table	Arthur is behind the table	no	John is behind Bill in intelligence	Bill is behind Mary in intelligence	John is behind Mary in intelligence	yes
the birdview terrace is above my standards	my standards are under reconsideration	the birdview terrace is above reconsideration	no	the Moon is above my window	my window is under the roof	the Moon is above the roof	yes
the cost of the journey is under her pupil's allowance	her pupil's allowance is under the city regulations	the cost of the journey is under the city regulations	no	the cost of the trip is under my travel allowance	my travel allowance is under my salary	the cost of the trip is under my salary	yes
the train is above the mechanic	the mechanic is at work	the train is above work	no	the train seats are above my expectations	my expectations are at a medium standard	the train seats are above a medium standard	yes
the city is above my standards	my standards are at a state of change	the city is above a state of change	no	the city is above the sea level	the sea level is at 50 meters	the city is above 50 meters	yes
the theatre is above the school	the school is above the expectations of my parents	the theatre is above the expectation of my parents	no	the theatre is above the school	the school is above the mine	the theatre is above the mine	yes
the plane is above the city	the city is above par	the plane is above par	no	the plane is above the city	the city is above the lake	the plane is above the lake	yes
the statue is above the desk	the desk is on fire	the statue is on fire	no	the statue is above the desk	the desk is on the boat	the statue is on the boat	yes
the lamp is above the doctor	the doctor is on call	the lamp is on call	no	the lamp is above the doctor	the doctor is on the top floor	the lamp is on the top floor	yes
the homework essay is on Slovakian poetry	Slovakian poetry is on par with Czech poetry	the homework essay is on par with Czech poetry	no	Italian poetry is on par with Greek poetry	Greek poetry is on par with Romanian poetry	Italian poetry is on par with Romanian poetry	yes
the ducks are above the geese	the geese are above an acceptable loudness level	the ducks are above an acceptable loudness level	no	rationalists are above empiricists	empiricists are above skeptics	rationalists are above skeptics	yes
rationalists are on par with empiricists	empiricists are under critique	rationalists are under critique	no	the ducks are on the lake	the lake is under the cavern	the ducks are under the cavern	yes
the letter is with the postman	the postman is at ease	the letter is at ease	no	the letter is with the postman	the postman is at the gate	the letter is at the gate	yes
the car is behind the garage	the garage is in a new condition	the car is in a new condition	no	the car is behind the garage	the garage is in Israel	the car is in Israel	yes
their support is behind the decision of the prime minister to resign	the decision of the prime minister to resign is in the newspaper	their support is in the newspaper	no	their dog is behind the house of the prime minister	the house of the prime minister is in the forest	their dog is in the forest	yes
Carol is with Robert	Robert is under ten years old	Carol is under ten years old	no	Danny is with Sebastian	Sebastian is under the meadow	Danny is under the meadow	yes
Adrian is with Noemi	Noemi is in shock	Adrian is in shock	no	Claire is with Emmanuel	Emmanuel is in the bunker	Claire is in the bunker	yes
her deed is in the newspapers	the newspapers are under the sofa	her deed is under the sofa	no	her picture is in the newspapers	the newspapers are under the sofa	her picture is under the sofa	yes
the competition is in 2025	2025 is in the news	the competition is in the news	no	the competition is in 2025	2025 is in less than a decade	the competition is in less than a decade	yes
the child is behind the tree	the tree is behind my request to water the garden	the child is behind my request to water the garden	no	the child is behind the tree	the tree is behind the pool in the garden	the child is behind the pool in the garden	yes
mathematics is at an excellent level here	an excellent level here is above the expectations of the teachers	mathematics is above the expectations of the teachers	no	the hospital is at the level of the street	the level of the street is above the level of the sea	the hospital is above the level of the sea	yes
her hope is with the green army	the green army is above suspicion	her hope is above suspicion	no	her bag is with the shopkeeper	the shopkeeper is above ground level 	her bag is above ground level	yes
the milkman is at the door	the door is at the verge of collapsing	the milkman is at the verge of collapsing	no	the payment is at the end of the lesson	the end of the lesson is at midnight	the payment is at midnight	yes
their stop is at the hospital	the hospital is behind their desire to change the law	their stop is behind their desire to change the law	no	their journey is at their great expense	their great expense is behind the latest loan	their journey is behind the latest loan	yes
the lessons learned during childhood are behind their ability to cope	their ability to cope is at a low ebb	the lessons learned during childhood are at a low ebb	no	the books read during childhood are behind the counter	the counter is at the house of my grandmother	the books read during childhood are at the house of my grandmother	yes
the hostel is above my expectations	my expectations are under revision	the hostel is above revision	no	the room is above my expectations	my expectations are under 10 square meters	the room is above 10 square meters	yes
the professor's issue is with the meaning of the poem	the meaning of the poem is at the mind of the reader	the professor's issue is at the mind of the reader	no	the professor's mother is with her sister	her sister is at the market	the professor's mother is at the market	yes
your gift is at the end of the course	the end of the course is at a snail's pace	your gift is at a snail's pace	no	the discourse is at the end of the lesson	the end of the lesson is at noon	the discourse is at noon	yes
the red proposal is under the blue proposal	the blue proposal is under revision	the red proposal is under revision	no	the red book is under the blue book	the blue book is under the green book	the red book is under the green book	yes
the drone is above the market	the market is in ruins	the drone is in ruins	no	the drone is above the market	the market is in the city	the drone is in the city	yes
the report is with the doctor	the doctor is at a loss	the report is at a loss	no	the report is with the doctor	the doctor is at the hospital	the report is at the hospital	yes
the girl is with her mother	her mother is at her wit's end	the girl is at her wit's end	no	the girl is with her mother	her mother is at the pharmacy	the girl is at the pharmacy	yes
the boy is with the driver	the driver is at your service	the boy is at your service	no	the boy is with the driver	the driver is at your hotel	the boy is at your hotel	yes
the girl is at lunch	lunch is on the table	the girl is on the table	no	the girl is at lunch	lunch is on the terrace	the girl is on the terrace	yes
